Article Title,Author,Journal Title,International,Subjects,Keywords,text
ABSTRACTS.,,Lituanus,1,"PUBLIC opinion on immigrants; COMMUNISM & culture; LITHUANIA; SOVIET Union; CHICAGO (Ill.); ILLINOIS; CENTURY of Progress International Exposition (1933-1934 : Chicago, Ill.)",,"Abstracts are presented on subjects of Lithuanian studies on topics of Lithuanian participation in A Century of Progress International Exposition in Chicago, Illinois, Lithuanian migration stereotypes, and a study of Soviet ideologies imposed on Lithuanians during Lithuania's rule by the Soviet Union."
ABSTRACTS.,,Revue Internationale de Politique Comparee,1,ECONOMICS; POLITICAL science; INDUSTRIAL policy; ECONOMIC policy,,"The article presents abstracts on economic and political topics which include the role of the state in the economy of emerging countries, three types of theories of state formation and industrial policies and regulatory systems of emerging countries."
ABSTRACTS.,,Revue Internationale de Politique Comparee,1,POLITICAL science; DEMOCRACY; POLITICAL parties; POLITICAL opposition,,"The section presents abstracts on political science topics including political opposition in contemporary democracies, a case study of political parties representing Arab-Palestinian minority in Israel, and the factors explaining the decline of parties in opposition in Central and Eastern Europe."
ABSTRACTS.,,Portuguese Studies Review,1,IMMIGRANTS; EMIGRATION & immigration; RETURN migration; MULTICULTURALISM; AZORES; PORTUGUESE people; CANADA; PORTUGAL; EDUCATION; SOCIAL history,,"The article presents abstracts of articles published in the current issue, discussing subjects such as research on education of Portuguese descendants in Canada, return migration in the Azores, Autonomous Region of Portugal, and multiculturalism in the Portuguese-Canadian community."
ABSTRACTS.,,Revue Française de Science Politique,1,POLITICAL science; TREATIES; EUROPEAN Union; COURT of Justice of the European Union,,"The article presents abstracts on topics related to political science, including the role of jurists in the constitutionalization of the European Union by its Court of Justice, the foundations of the authority of the European Court of Justice, as well as the treaty negotiation process as both a long-term and short-term process in relation to the development of the European Charter of Fundamental Rights."
ABSTRACTS.,,Integration (07205120),0,RIGHT of asylum; DEMOCRATIZATION; EUROPEAN Union,,"The article presents abstracts on European Union's political activities on topics which include asylum policy on refugee crisis, bilateral policies of Switzerland and democratization."
ABSTRACTS.,,Revue Française de Science Politique,1,SOCIAL movements; LAND reform; REFORMS; LATIN America; BENIN; FRANCE,,"Abstracts of research studies published within the issue is presented, including ""Approaches to Latin American Social Movements Since the 1970s,"" ""Rural Land Reform in Benin: Emergence of and Challenges to Policy Reforms in an Aid-Dependent Country"" and ""A Proto-History of Codification: The Genesis of French Political Funding Reform From 1970-1987."""
ABSTRACTS.,,Revue d'Études Comparatives Est-Ouest,1,"EASTERN Europe; ECONOMIC conditions in Eastern Europe; EASTERN European history, 1989-; EASTERN Europe -- Politics & government -- 1989-",,"The article presents abstracts on the history of Eastern Europe, including topics like the flexibility of the labor market in the Baltic States, income inequality in post-socialist Czech Republic, Hungary and Russia, and the aspects and causes of the different forms of poverty in Eastern Europe since 1989."
ABSTRACTS.,,Revue d'Études Comparatives Est-Ouest,1,"INCOME distribution; NATURE conservation; CENTRAL Europe; EUROPEAN Union countries; RUSSIA; GLOBAL Financial Crisis, 2008-2009",,"This section presents abstracts of articles in this issue on topics such as the 2008-2009 global financial crisis and Russia, income inequality in new European Union member states, and nature conservation in Central Europe."
ABSTRACTS.,,Slavic Review,1,LABOR mobility; SOCIAL movements; IDENTITY politics; NORTH Macedonia; EUROPEAN Union,,"The article presents abstracts on topics related to Slavic studies which include labor migration in the Balkans, European integration in post-conflict Macedonia and identity politics among Albanians in Macedonia."
ABSTRACTS.,,Foro Internacional,1,HEGEMONY; CABINET officers; MEXICO; UNITED States; PARTIDO Accion Nacional (Mexico); MEXICO -- Politics & government -- 20th century; FOREIGN relations of the United States,,"Abstracts, in English, of articles published in the issue are presented, including one on 20th century Mexican political history, one on the global hegemony of the United States, and one on the cabinet members of Mexican presidents belonging to the Partido Acción Nacional (PAN) political party."
ABSTRACTS.,,Problemes D'Ameriques Latine,1,NATIONAL security; HISTORY; CONQUERORS; MISSIONARIES; ARGENTINA -- Politics & government,,"The article presents abstracts on variety of topics including the conquerors and missionaries in Latin America during the 19th and 20th century, the history of the foundation of Argentina as a republic, and the emergence of the territorial security policy of Mexico."
ABSTRACTS.,,Maghreb - Machrek,1,GEOPOLITICS; NONGOVERNMENTAL organizations; MASS media; SYRIA,,"The article presents abstracts on topics related to geopolitics in Syria which include the conciliatory role of Damascus in a volatile Iraq, the relation between the Syrian government and the non-governmental organizations, and the development of the country's privately owned mass media."
ABSTRACTS.,,Futuribles,1,ENVIRONMENTAL policy; ECONOMIC policy; SOCIAL cohesion; EUROPEAN Union countries; FRANCE; 1995-,,"The article presents abstracts on social, political and environmental topics which include the environmental policy of the European Union, the concept of residential economy in France up to 2040, and a reflection on the notions of free market economy and social solidarity."
ABSTRACTS.,,Studia Politica: Romanian Political Science Review,1,ISLAM & politics; VOTING; ROMANIA; SYRIA; EASTERN Europe,,"The article presents abstracts on topics including nature of the Romanian political regime, rise of Islamism in Syria, and invalid votes in central and eastern Europe."
ABSTRACTS.,,Foro Internacional,1,"DRUG traffic; MEXICO; GLOBAL Financial Crisis, 2008-2009; CHINA -- Foreign relations",,"The article provides English abstracts to the five Spanish articles featured earlier in the issue, which discuss topics that include the 2008 financial crisis, contemporary foreign relations between Russia and China, and the Mexican war on drugs"
ABSTRACTS.,,Zeitschrift für Parlamentsfragen,1,CONSTITUTIONAL law; CONSTITUTIONAL courts; ELECTIONS; GERMANY,,
ABSTRACTS.,,Studia Politica: Romanian Political Science Review,1,SOCIALIZATION; INSTITUTIONALIZED persons; DEMOCRACY; EUROPE,,"The article presents abstracts on topics related to political system including the impact of socialization and institutionalization on immigrants' social trust, geography of support for democracy in Europe, and contribution of Russia in the inception of the Eastern Partnership."
ABSTRACTS.,,Lituanus,1,NEOLIBERALISM; INTERNATIONAL relations; LITHUANIA; HIGHER education,,
ABSTRACTS.,,Portuguese Studies Review,1,IMPERIALISM -- History; INTERNATIONAL relations; HISTORY; SLAVERY; COLONIZATION; PORTUGAL,,
ABSTRACTS.,,Lituanus,1,REFORMATION; LITHUANIA; CATHOLIC Church,,
ABSTRACTS.,,"Maghreb, Machrek: Monde Arabe",1,GOVERNMENTALITY; MOROCCO; TUNISIA; CORPORATE governance,,"This section presents abstracts of articles including ""Governance in the Mediterranean: Interest and Limits of a Concept,"" ""From Governance to Governmentality? Territorial Public Action in Morocco,"" and ""Nature Resources Management and Institutional System of Governance in Tunisia."""
ABSTRACTS.,,Integration (07205120),0,POLITICAL integration; BUDGET; EUROPEAN Union; EUROPEAN Commission,,"English-language abstracts are presented of articles in this issue dealing with such topics as the reform of the European Commission, threats to European Union (EU) political integration, and the 2009 EU budget."
ABSTRACTS.,,Journal for Human Rights / Zeitschrift für Menschenrechte,0,RACISM; HUMAN rights; HAITI,,"The article presents abstracts on historical topics which include the origins of human rights, Haitian revolution in context of racism, and the need for realization of social human rights."
ABSTRACTS.,,Forschungsjournal Soziale Bewegungen,1,CIVIL society; PROTESTANTISM; CATHOLIC Church,,"The article presents abstracts related to churches on topics dealing with the role of churches within civil society, the 500th anniversary of the Protestant Church and effectiveness of civil society initiatives."
ABSTRACTS.,,Journal for Human Rights / Zeitschrift für Menschenrechte,0,HUMAN trafficking; HUMAN rights; SPORTS participation,,
ABSTRACTS.,,Politique Internationale,1,,,
ABSTRACTS.,,Lituanus,1,LITHUANIAN literature; LITHUANIAN language; JEWISH cemeteries,,"The article presents abstracts on Lithuanian history which include the value of the contemporary Lithuanian novel, the archaic features in the sound system of present-day Lithuanian, and the old Jewish cemetery in the 19th and 20th centuries in Vilnius."
ABSTRACTS.,,Studia Politica: Romanian Political Science Review,1,GEOPOLITICS; DEMOCRATIZATION; PRECISION guided munitions,,
ABSTRACTS.,,Studia Politica: Romanian Political Science Review,1,DEMOCRACY; POLITICAL parties; LEGISLATIVE bodies -- Elections; ELECTIONS; ITALY; ITALY -- Politics & government -- 21st century,,"The article presents abstracts on political topics which include the ""Democracy and Parties in Italy after the 2013 Legislative Elections,"" by Sorina Soare and Alexandra Ionesco, ""Democracy at Stake,"" by Gianfranco Pasquino, and ""Not a Normal Country: Italy and its Party Systems,"" by Marco Valbruzzi."
ABSTRACTS.,,Portuguese Studies Review,1,IMPERIALISM -- History; POLITICAL doctrines; COLONIZATION; HISTORY; PORTUGUESE colonies; PORTUGAL,,
ABSTRACTS.,,Forschungsjournal Soziale Bewegungen,1,,,
ABSTRACTS.,,Lituanus,1,EDUCATION policy; STATE universities & colleges; LITHUANIA; HIGHER education,,"The article presents abstracts on higher education in Lithuania including the impact of different myths on higher education policies, state of state universities and colleges in the country and negative effects of the 2009 higher education reform in Lithuania."
Abstracts/Résumés.,,Canadian Foreign Policy (CFP),1,ECONOMICS; INTERNATIONAL relations; CULTURE; CANADA,,"The article presents abstracts related to economy of Canada including impacts of unipolarity on Canada's engagement with North Atlantic Organization, cultural products trade and foreign policies."
Abstracts/Résumés.,,Canadian Foreign Policy (CFP),1,SOCIAL responsibility of business; CANADA; BASLER Ausschuss fur Bankenaufsicht,,"Abstracts of articles on international affairs are presented including topics on the promotion of international development through corporate social responsibility in Canada, Basel Committee on Banking Supervision (BCBS) and foreign service of Canada."
Abstracts/Résumés.,,Canadian Foreign Policy (CFP),1,INTERNATIONAL relations; DEMOCRACY; CANADA; AFGHANISTAN; PAKISTAN; INDIA,,"The article presents abstracts on political topics including the foreign policy of Canada in the Afghanistan mission, the interest of India towards Afghanistan, and the democracy and politics in India."
Abstracts/Résumés.,,Canadian Foreign Policy (CFP),1,WATER security; CANADIAN peacekeeping forces,,"The article presents abstracts on Canadian foreign policy which include foreign policy for peacekeeping, critical water security and Canada's China policy under the Harper government."
Abstracts/Résumés.,,Canadian Foreign Policy (CFP),1,INTERNATIONAL relations; WAR; DEMONSTRATIONS (Collective behavior); DIPLOMACY; CANADA,,"The article presents abstracts related to Canadian foreign policy including the positive or negative force for armed conflict prevention, the 2009 Toronto Tamil demonstrations, and the evolving nature and role of diplomatic mission."
Abstracts/Résumés.,,Canadian Foreign Policy (CFP),1,NATIONAL security; DRONE aircraft; CANADA-United States relations,,"The article present abstracts of several articles related to cultural differences and future of American-Canadian defence relations, Canada's proposed procurement of UAVs by Michael Byers and others, and security strategies of Canada and the United States since 1991 by Tom Keating and others."
Abstracts: French and German.,,Contemporary European History,1,FASCISM; GEOPOLITICS; WORLD War II; GREAT Britain; GREECE; GREECE -- Foreign relations -- 20th century; CHILDREN of military personnel; CHILDREN,,"The article presents abstracts on several topics including a history of fascism and radical politics in Great Britain during the 1930s, geopolitics and foreign policy in Greece between the years of 1934 and 1936, and children of American soldiers in Great Britain and West Germany in World War II."
ABSTRACTS: SYMPOSIUM ESSAYS.,,Columbia Law Review,0,INTERNATIONAL law; CONSTITUTIONS; ACTIONS & defenses (Law); HABEAS corpus,,"The article presents abstracts of symposiums related to law, which include the role of embedded international law in the U.S. constitutional interpretation, the U.S. and Europe's approach to aggregate litigation and the U.S. Supreme Court's habeas corpus cases from the war on terror."
Against the Wall.,,Osteuropa,1,LAW & Justice (Political party : Poland); POLAND -- Politics & government,,The article presents abstracts on conservative revolution in Poland which include anti-pluralist and anti-elitist conception of politics by the populists; victory of national conservative party Law and Justice (PiS) in 2015 presidential election of Poland; and its impact.
Aligning for Hemispheric Defense: Synchronizing NORTHCOM and SOUTHCOM Efforts to Combat Transnational Criminal Organizations.,"ALLEN, BOB; JACKSON, MARY; KING, JANICE; PALACIOS, JORGE",FAOA Journal of International Affairs,0,INTERNATIONAL security; TRANSNATIONAL crime,,"An abstract of the article ""Aligning for Hemispheric Defense: Synchronizing NORTHCOM and SOUTHCOM Efforts to Combat Transnational Criminal Organizations"" is presented."
American Diplomacy Links for September 2016.,"Clack, George",American Diplomacy,0,DIPLOMACY; DRONE warfare; PILGRIMAGE to Mecca,,"The article presents abstracts of web-accessible articles related to diplomacy including a contrarian's look at the state of the world and case for optimism, misconceptions about Islamic pilgrimage to Mecca and issues on U.S. drone warfare policies."
"American Diplomacy Links May 18, 2016.","Clack, George",American Diplomacy,0,MILITARY science -- International cooperation; HYPERLINKS; FOREIGN relations of the United States,,"The article presents several Web links on American diplomacy, including ""Trump vs. Hillary Is Nationalism vs. Globalism, 2016,"" ""The Art of the Military Deal,"" and ""What Trump Gets From NATO."""
American Diplomacy Links--October 2015.,"Clack, George",American Diplomacy,0,CIVIL war; ASSASSINATION; TRANS-Pacific Partnership,,"The article presents abstracts on articles that appeared in the October 2015 issue of the ""American Diplomacy"" journal, including the developing civil war in Syria, the U.S. military's assassination programs in Afghanistan, Yemen and Somalia and the Trans-Pacific Partnership (TPP)."
American Diplomacy Spoken Word Links September-October 2017.,"Sempa, Francis P.",American Diplomacy,0,HISTORY of diplomacy; GEOPOLITICS,,
"AN ANALOGY BETWEEN THE STRUCTURES OF THE STATE AND THE INTERNATIONAL COMMUNITY: GLOBAL GOVERNANCE, INTERNATIONAL INSTITUTIONS AND DIPLOMACY IN THE 21st CENTURY.","Šabič, Zlatko",Teorija in Praksa,1,DIPLOMACY; GLOBALIZATION,domestic; global governance; international non-governmental organisations; international organisations; international parliamentary institutions,"The aim of this article is to analyse the role of diplomacy in the changing environment of international relations caused by globalisation and alterations to the global world order. In doing so, the author uses a model of an analogy between the structure of the state and the structure of the international community. In his analysis, he focuses on those actors which participate in global governance and best fit the so-called ""domestic analogy"": international governmental and non-governmental organisations, and international parliamentary institutions. He argues that, as the nature of problems which an individual faces becomes more global, decision-making processes will increasingly also take place at the global level. The more global governance becomes ""government"" the more pressure by non-state actors to participate in these processes will mount. In such an environment, traditional diplomacy is becoming a means of communication used not only by states but also by other actors."
An Attempt to Understand the Resistence of Corruption by Analysing Different Equilibria in Argentina and Chile.,"Acus, Algirdas",Politologija,1,POLITICAL corruption; ARGENTINA,,"An abstract of the article ""An Attempt to Understand the Resistence of Corruption by Analysing Different Equilibria in Argentina and Chile,"" by Algirdas Acus is presented."
An evaluation framework for e-participation in parliaments.,"Loukis, Euripidis; Xenakis, Alexandros; Charalabidis, Yannis",International Journal of Electronic Governance,0,POLITICAL participation; LEGISLATIVE bodies,e-democracy; e-participation; electronic democracy; electronic participation; evaluation; information systems; legislation development; online participation; parliaments; public participation,"An abstract of the article ""An Evaluation Framework for E-Participation in Parliaments,"" by Euripidis Loukis, Alexandros Xenakis and Yannis Charalabidis is presented."
AN OUTLINE OF SLOVENIAN DIPLOMACY OR THE DIPLOMACY OF SLOVENIANS.,"Rahten, Andrej",Teorija in Praksa,1,"INTERNATIONAL relations; SLOVENIA; HABSBURG, House of",diplomacy; Habsburg monarchy; history; Paris Peace Conference; Yugoslavia,"The article deals with the history of Slovenian diplomacy, which - according to the author - should not be confined to the existence of an independent Slovenian nation-state only. In addition to many prominent personalities in internal politics, Slovenians could also be found in the diplomatic services of the Habsburg Monarchy as well as the monarchic and socialist Yugoslavia. Among diplomats of Slovenian origin serving under Habsburg Emperors, the following should be mentioned: Alojz Dobravec, Chevalier de Saldapenna, Anton Lavrin, Baron Josef Schwegel, and Alojz Pogačar. During the Yugoslav Kingdom, Izidor Cankar served as an Envoy to Argentina, Canada and Greece. Between the two world wars, three Slovenians served as Envoys to Prague: Ivan Hribar, Albert Kramer and Bogumil Vošnjak. The former Prime Minister of the Provincial Government for Slovenia, Leonid Pitamic, even became an Envoy to Washington. Several Slovenians could also be found within the League of Nations. Ivan Perne was head of the League of Nations Division at the Ministry of Foreign Affairs. As for those working in the administration of the League of Nations, the highest position was taken by Vladimir Miselj, who worked in the Secretariat. After the Second World War, the leading Slovenian communist Edvard Kardelj even played - apart from Josip Broz Tito - a key role in the foreign policy of Socialist Yugoslavia. In the 1970s, the number of Slovenians in Yugoslav diplomacy began to fall, especially at the lower diplomatic levels. During the break-up of the Yugoslav state, the majority of Slovenian diplomats supported the efforts of Slovenia's political leadership to achieve independence and take an active part in struggling for international recognition."
Análisis comparativo de la publicidad política en las elecciones de 2008 de Estados Unidos y España.,"PINEDA, Antonio; GARRIDO, Manuel; RAMOS, Marina",Zer: Revista de Estudios de Comunicacion,1,POLITICAL advertising; PRESIDENTIAL elections; YOUTUBE (Web resource),campaign; content analysis; political communication; análisis de contenido; campaña; comunicación política; Internet; eduki analisia; kanpaina; komunikazio politikoa,"This paper carries out a comparative content analysis of American and Spanish political advertising, in order to ascertain thematic similarities and differences between commercials and videos published in YouTube during the 2008 presidential campaigns of both countries. Data indicate that, in both countries, most videos are candidate-centered. Differences however arise regarding the focus on negative advertising in both countries, as well as the issues used in American and Spanish ads. This research also indicates that the internet may be employed as a traditional advertising medium, despite Web 2.0's innovative potential."
Analysis of the Fundamental Rights in the German Constitution within the Scope of the Relationship between European Convention on Human Rights and the European Union.,"ARSAVA, A. Füsun",Review of International Law & Politics,0,EUROPEAN Union law; CIVIL rights; EUROPEAN Court of Human Rights; GERMANY,Fundamental Rights of the Union; Supervision of Union law by European Court of Human Rights; The Precedent Cases of German Constitutional Court on Fundamental Rights; The Relationship between ECHR and Union Law; The Role of The Constitutional Courts Providing Fundamental Rights,"At present, fundamental rights are provided at regional and universal levels apart from national constitutions. This article deals with the relationship between the EU and ECHR giving an example of provision of fundamental rights on regional level and the provisions of German Constitution that comprehensively provides fundamental rights and therefore exemplifies the EU provisions on fundamental rights."
ANALYSIS OF THE PROLONGED CO-RESIDENCE OF PARENTS AND CHILDREN IN SLOVENIA.,"KUHAR, Metka",Teorija in Praksa,1,PARENT & adult child; ADULT children living with parents,extended co-residence; housing; parents; young people,"After initially presenting the phenomenon of the prolonged co-residence of parents and young adult children in Slovenia, two subsamples of 19- to 29-year-olds who are no longer at school are compared - those still living in the household of their parents or carers and those who have already moved out. The potential factors affecting the timing of leaving the parental home are checked: demographic, social and economic; factors associated with the status transitions from youth to adulthood and family-relationships factors. Both sub-samples are derived from a representative survey on a sample of 15- to 29-year-old Slovenians called Youth 2010. The analysis highlights the very close relationship between the timing of one's departure from the home of origin with the decision to create a family, noting that economic independence also significantly influences this status passage."
Au contact: Postiers non-citoyens dans l'Algérie colonisée (vers 1900-1939).,"Lacroix, Annick","French Politics, Culture & Society",1,LETTER carriers; ALGERIANS; FRENCH Algeria; TWENTIETH century; SOCIAL history,Algeria; colonisation; discrimination; interactions; labor,"An abstract of the article ""Au contact: Postiers non-citoyens dans l'Algérie colonisée (vers 1900-1939)"" by Annick Lacroix is presented."
"Authoritarian Regimes, New Media and the »Regime Dilemma«.","Badr, Hanan; Demmelhuber, Thomas",Zeitschrift für Internationale Beziehungen (ZIB),1,AUTHORITARIANISM; POLITICAL change; INFORMATION & communication technologies,authoritarianism; egypt; internet; political transformation; regime dilemmas,"There is a consensus in Social Sciences and other disciplines that media plays an important role in times of political change. Yet, in recent years, the n specific role of Information and Communication Technologies (ICTs) in political transformation processes receives more scholarly attention, especially against the background of its dissemination and further (technical) developments. Hence, this paper focuses on the concrete structural and functional innovations achieved by New Media (i.e. social media and microblogs) and develops the concept of three dilemmas each authoritarian regime encounters in a different way. This paper poses the central question what potential New Media embodies during different phases of political change. It focuses on the Arab Spring with a case study on Egypt. Based on empirical data derived from comprehensive field work, a micro study will categorize the role of New Media during the different phases of political upheaval in Egypt since 2011 ."
AUTHORS SYNOPSES.,,Teorija in Praksa,1,INTERNATIONAL security; EMPLOYEE attitudes; TEENAGERS; AFFECTIVE disorders,,"This section presents abstracts of articles related to security including ""Challenges of Contemporary Security: From National and International Security Towards Human,"" ""Employees' Affective and Continuance Commitment: A Cross-Cultural Comparison,"" and ""New Media Norms of Engendering: Research-Discussing and Teenagers' Response."""
AUTHORS SYNOPSES.,,Teorija in Praksa,1,POLITICAL participation; EXPERIMENTAL design; POLITICAL science; MIXED methods research,,"The article presents abstracts of articles published within the issue, including ""Methodological Problems and Solutions Regarding Explanatory Mixed Methods Research Design--Participant Selection Model,"" ""Theoretical Security Paradigms and the Environment As a Security Issue,"" and ""Policy on the Wall."""
"Autocracies, Democracies, and the Legitimacy of International Organizations.",,Zeitschrift für Internationale Beziehungen (ZIB),1,LEGITIMACY of governments; INTERNATIONAL agencies -- Legitimacy,convergence; legitimacy; legitimation; regime type; united nations general assembly,"This article addresses a central gap within empirical legitimacy research, which results from the systematic negligence of non-democratic regimes and their evaluations of international institutions. In particular, it seeks to clarify divergent theoretical assumptions on the influence of the regime type on patterns of (de-)legitimation of global governance. Do states externalize legitimacy standards in line with their own domestic practices of legitimation? Or is their international legitimacy discourse part of a process of global convergence? This article uses qualitative content analysis to compare the legitimacy standards democratic, autocratic and hybrid regimes refer to in their assessments of the United Nations General Assembly. The empirical results reveal a surprisingly high consistency among the three regime types' legitimacy judgments. The study thereby provides empirical evidence against the transfer thesis and in support of the assumption of a global convergence in the patterns of legitimation of global governance."
AUTONOMISM AND EGALITARIANISM THE SLOVENIAN WAY: BETWEEN (PRE)MODERNITY AND (POST)COLONIALISM.,"TOPLAK, Cirila",Teorija in Praksa,1,EQUALITY; SLOVENIA; AUTONOMISM,autonomism; egalitarianism; nature religion of Posočje; political history; self-management,"This article is based on the premise that co-management and self-organising principles are 'autochthonous' political traditions, i.e. typical historical forms of social organisation in Slovenian-speaking lands. Subsequently, autonomism and egalitarianism may be regarded as typical ideological backgrounds of Slovenian political culture. The author verifies this thesis by applying the micro-historical method as well as certain theories from the field of post-colonial studies, in particular to seek to identify the primordial form of Slovenian social organisation by a perspectivist translation of cultural differences, and to subsequently assess Slovenian society's capacity to conserve and reflect on its authentic political traditions. With this aim in mind, a case study of the local history of political organising in northwestern Slovenia is explained, where the retrospectively registered oral tradition is confronted with the ""exterior"" view by local written sources on the same topic. In response to the initial research questions, the author concludes that it is necessary to conceptually differentiate between traditional local autonomisms and the nationalist idea of autonomism produced by the modern imagined national community, and that the Slovenian concept of egalitarianism has always been restrained by patriarchy. Nevertheless, the era of Yugoslav socialist self-management is seen as being the greatest rapprochement between the primordial and state forms of social organisation and thereby the period of the greatest capacity of Slovenian society to think itself autonomously, as shown by the quality of social criticism produced by Yugoslav theoreticians at the time."
Avrupa Birliği Adalet Divanı İçtihadı İşığında Serbest Dolaşım ve Birlik.,"BİLGİN, A. Aslı",Review of International Law & Politics,0,,AB Yurttaşlığı; Avrupa bütünleşmesi; Avrupa Birliği Adalet Divanı; Serbest Dolaşım,"1951 tarihli Avrupa Kömür ve Çelik Topluluğunu kuran Paris Antlaşması ile 1957 tarihli Avrupa Ekonomik Topluluğu ve Avrupa Atom Enerjisi Topluluğunu kuran Roma Antlaşmaları ile temelleri atılan ve o dönemde Özellikle ekonomik alanda bir bütünleşme sağlayıp, malların, kişilerin, sermayenin ve hizmetlerin serbest dolaşımı hedefine sahip olan Avrupa bütünleşmesi, geçen zaman içerisinde ekonomik bütünleşmeyi öngören hedefinin yanında siyasi birlik olma amacına da yönelmiştir. 1992 yılında imzalanan Maastricht Antlaşması ile Birlik Yurttaşlığı Kurucu Antlaşmalara dâhil olmuş ve Divan Birlik Yurttaşlığı kavramının yardımıyla serbest dolaşım hükümlerini geniş yorumlamaya başlamıştır."
Basic needs and the New International Economic Order.,"STREETEN, Paul",Mondes en Developpement,1,INTERNATIONAL economic relations,,"An abstract of the article ""Basic Needs and the New International Economic Order,"" by Paul Streeten is presented."
"Between Internationalisation, Nationalisation and Europeanisation.",,Zeitschrift für Internationale Beziehungen (ZIB),1,INTERNATIONAL relations -- Periodicals; EUROPEANIZATION; GERMAN periodicals,european discourse; german ir; ir discourse; security studies; zib,The article examines the last ten years of ZIB with an emphasis on security publications in German and international contexts. The article argues that ZIB is marked by an ambivalence of internationalisation and non-intemationalisation which helps to strengthen but does not fully exhaust its potential to support professionalism in German IR. This can be seen in the significant lack of variety in themes and methodologies but also in the danger of renationalising German IR. Whether ZIB wants to proactively address these problems and dangers with a stronger embeddedness in distinctly European discourses and a future publication in English is something the German IR community can only decide for itself.
Beyond euroscepticism and europhilia: Multiple views about Europe.,"Russo, Federico; Cotta, Maurizio",Rivista Italiana di Scienza Politica,1,EUROSCEPTICISM; POLITICAL attitudes; EUROPEAN Union countries,Crisis; Elite; Europe; European Integration; Parliaments,"The purpose of this paper is to map the structure of preferences concerning the European Union held by parliamentarians of the member states. The opinions of national politicians are relevant as they influence the governments which participate in the institutions and the decision making processes of the Union. Do they evaluate the European integration process according to a single independence-integration dimension? Or do they acknowledge the existence of multiple lines of conflict? Is the structure of preferences stable? Finally, how are national parliamentarians grouped according to their preferences and what this can tell about the future of European Integration? This paper, based on a two waves survey of national parliamentarians belonging to 16 member states, analyses their views about the governance system and the policy goals of the EU. The findings of this paper shed some new light on several old questions. Firstly, while several studies assume that the preferences about European Integration can be ordered in a one-dimensional continuum that has the status quo and complete integration as the two opposite poles, this paper shows that the preferences of national parliamentarians have a multi-dimensional structure. Secondly it moves to analyse the four main clusters of national parliamentarians which these preferences generate. And thirdly it discusses how these clusters react to different problems and challenges the EU faces today."
"Beyond Representation: The Revolution As Word, As Image, As Event.",,Politologija,1,COLLECTIVE memory; SEMIOTICS; CINEMATOGRAPHY; I Love Lithuania (TV program); DIE Hard (Film),,
Beyond the Enigma of Power: Notes on the Last Novel by Ričardas Gavelis.,"SAMALAVIČIUS, ALMANTAS",Lituanus,1,"POWER (Social sciences); GAVELIS, Ricardas, 1950-2002",,
"Biolegality, the Forensic Imaginary and Criminal Investigation.","Machado, Helena; Costa, Susana",Revista Crítica de Ciências Sociais,1,GOVERNMENT policy; PORTUGAL -- Politics & government; DNA; TWENTY-first century; GENETICS laws,biolegality; criminal investigation; database; DNA technology; forensic imaginary,"This text discusses some aspects of the local configurations of representations and social uses of DNA technology in criminal investigations in Portugal. The approach to the sociotechnical network which aligns forensic science with state governance policies, criminal investigation practices and laws, and the cultural imaginaries surrounding DNA and criminal investigation work is based on the concepts of biolegality and the forensic imaginary, which are, in turn, anchored in notions of biocitizenship and bioidentification, respectively. An interpretative and qualitative theoretical-methodological perspective has been adopted, based on the analysis of legislation and of the meanings and relevance attributed to the use of DNA technology by elements of the Criminal Police. The objective is to discuss aspects of the local tensions created by processes involving the export of DNA technology, which has its origins in societies and cultures with different traditions of technology governance, of regulation of criminal investigation procedures and of submission of evidence in court."
Blame and Punishment? The Electoral Politics of Extreme Austerity in Greece.,"Karyotis, Georgios; Rüdig, Wolfgang",Political Studies,0,VOTING research; GREECE -- Politics & government; AUSTERITY (Economics),,"An abstract of the article ""Blame and Punishment? The Electoral Politics of Extreme Austerity in Greece"" by Georgios Karyotis and Wolfgang Rüdig which appears in the current issue is presented."
"Book Review: Capital, coercion and postcommunist states.",,Journal of European Social Policy,1,ECONOMICS; PUBLIC administration; GOVERNMENT policy; TAXATION; EUROPE; POLAND; RUSSIA,,
Boom or Bust: Britain's Nuclear Deterrent Beyond 2025.,"GREEN, TIMOTHY COOPER",FAOA Journal of International Affairs,0,DETERRENCE (Military strategy); NATIONAL security,,"An abstract of the article ""Boom or Bust: Britain's Nuclear Deterrent Beyond 2025,"" by Timothy Cooper Green is presented."
Brief Notices.,,Survival (00396338),0,ARMS control; NUCLEAR energy; NUCLEAR arms control,,"The article presents abstracts on arms, arms control, and technology including the high price of nuclear energy, the nuclear, biological, and nuclear weapons arms control in Great Britain, and the national politics of nuclear power."
